etf_code,etf_name,sector,total_bars,ret_90d,mdd_90d,trades_90d,free_shares_90d,ret_180d,mdd_180d,trades_180d,free_shares_180d,ret_1y,mdd_1y,trades_1y,free_shares_1y,ret_2y,mdd_2y,trades_2y,free_shares_2y,ret_3y,mdd_3y,trades_3y,free_shares_3y,ret_5y,mdd_5y,trades_5y,free_shares_5y
159532,中证2000ETF易方达,核心宽基,720,-0.37,14.85,117,800,7.16,14.94,215,1300,10.57,3.68,224,1600,3.2,1.74,28,700,11.78,25.25,398,6100,,,,
159559,机器人ETF景顺,科技芯片,668,-28.74,16.41,136,1600,2.05,14.04,224,2700,4.55,20.61,492,5300,2.79,1.77,28,900,11.76,23.81,456,8000,,,,
588460,科创50增强ETF鹏华,核心宽基,894,22.02,9.78,180,1400,14.33,5.14,52,700,15.91,5.8,202,2100,4.84,3.26,26,1000,11.42,19.08,166,4900,,,,
159502,标普生物科技ETF嘉实,跨境全球,648,10.66,0.53,12,200,15.32,2.4,106,1100,3.49,0.55,16,400,6.68,24.49,168,2200,11.31,22.91,432,5400,,,,
159622,创新药ETF东财,医药健康,815,30.24,1.47,72,1500,33.32,9.98,278,3900,-3.74,24.57,114,1200,3.57,2.38,38,1300,11.2,25.89,448,8500,,,,
159638,航空航天ETF嘉实,国防军工,991,-5.43,13.87,120,1000,-32.11,26.64,100,1100,9.61,10.02,309,3600,2.28,2.59,38,1000,10.9,30.22,721,11100,,,,
561360,石油ETF国泰,周期资源,698,27.04,6.3,126,1100,-5.33,16.34,80,400,5.33,2.22,44,600,4.39,3.03,56,1300,10.75,8.67,396,5800,,,,
159506,港股通创新药医疗ETF富国,跨境全球,778,28.16,2.45,70,1200,10.91,19.26,222,2400,-21.69,32.97,50,300,3.92,3.31,40,1400,10.48,27.29,408,7300,,,,
159530,机器人ETF易方达,科技芯片,642,-34.76,16.75,130,1300,-2.5,15.07,226,2100,2.85,21.17,484,4500,2.72,1.83,28,800,10.44,14.27,306,6100,,,,
159567,港股创新药ETF银华,跨境全球,647,29.61,2.25,74,2500,9.0,18.16,227,4800,-29.53,37.98,32,100,3.54,3.74,46,2300,10.43,19.69,288,11700,,,,
159628,国证2000ETF万家,核心宽基,1010,-9.37,13.78,110,800,8.22,12.5,229,1800,13.35,4.37,288,2700,2.6,0.99,32,800,10.2,27.7,436,6500,,,,
561160,电池ETF富国,新能源制造,1016,-80.96,22.23,64,500,-28.54,22.6,236,3000,4.44,7.8,253,4600,4.43,3.45,66,3200,9.9,27.6,436,12600,,,,
159697,石油ETF鹏华,周期资源,818,23.77,5.53,130,1000,-15.56,18.23,64,200,7.07,2.84,70,1200,3.94,2.99,56,1300,9.68,9.4,510,6100,,,,
159566,储能电池ETF易方达,新能源制造,627,-62.09,17.98,70,300,-34.76,23.32,202,1000,5.08,12.28,340,2600,5.49,4.02,80,1500,9.61,8.52,262,3800,,,,
560110,中证1000ETF汇添富,核心宽基,995,-14.64,14.1,86,700,4.74,12.71,209,1800,13.47,4.38,321,3300,2.76,1.18,36,1000,9.42,27.64,462,7100,,,,
560010,中证1000ETF广发,核心宽基,996,-18.17,14.22,76,200,2.91,12.98,193,600,9.27,5.83,250,800,3.2,1.76,32,300,9.01,26.77,428,2400,,,,
159698,粮食ETF鹏华,大消费,744,33.1,6.32,64,1800,-17.72,24.59,29,800,9.25,13.95,102,2700,3.87,2.03,16,1500,8.98,17.04,236,7800,,,,
159633,中证1000ETF易方达,核心宽基,997,-12.9,13.63,88,200,2.5,12.76,187,500,9.49,4.86,247,800,3.11,1.57,34,300,8.9,27.63,414,2300,,,,
159629,中证1000ETF富国,核心宽基,998,-13.52,13.67,88,200,4.35,12.85,203,600,11.72,6.27,277,1000,3.27,1.73,34,300,8.82,26.9,404,2300,,,,
159680,中证1000增强ETF招商,核心宽基,919,-6.84,13.66,111,600,14.07,11.12,220,1700,11.28,4.33,213,1700,2.88,1.27,22,600,8.14,23.67,264,4200,,,,
517520,黄金股ETF永赢,大宗商品,697,54.29,11.54,107,1400,2.83,27.9,100,1000,25.77,14.29,247,3200,9.3,10.55,58,2000,7.97,11.66,88,2800,,,,
513190,港股通金融ETF华夏,跨境全球,712,21.44,7.68,96,600,16.73,4.73,154,1000,14.83,5.88,322,2100,2.96,0.91,14,400,7.53,10.4,186,3200,,,,
159635,基建ETF华夏,公用红利,1014,-4.36,4.9,89,600,-29.55,16.19,18,0,-1.44,11.04,382,2000,1.25,0.5,30,500,7.09,16.81,941,6700,,,,
513750,港股通非银ETF广发,跨境全球,679,13.27,6.37,123,700,1.05,11.36,115,800,-1.53,17.13,254,1400,2.69,1.9,16,500,7.08,16.98,184,3500,,,,
560280,工程机械ETF广发,新能源制造,699,-21.9,8.23,76,400,-7.61,10.97,226,1200,8.73,1.19,279,1600,2.34,1.25,38,600,6.9,4.79,412,3600,,,,
159636,港股通科技30ETF工银,跨境全球,1008,11.49,8.23,179,3300,-28.58,20.83,64,1500,-29.06,35.87,140,2000,1.72,1.76,20,1300,6.71,29.42,388,11500,,,,
513290,纳指生物科技ETF汇添富,跨境全球,980,15.39,0.44,10,300,10.85,2.89,56,600,4.74,1.17,14,400,5.41,17.55,100,1500,6.36,7.14,156,2800,,,,
159350,深证50ETF富国,核心宽基,669,-13.81,7.09,190,800,9.43,2.72,134,800,12.1,2.52,424,2100,2.06,0.99,30,400,6.07,7.26,298,3000,,,,
513140,港股通金融ETF华泰柏瑞,跨境全球,889,16.3,6.75,88,500,16.04,3.71,190,1100,12.57,2.94,302,1900,2.42,0.56,18,500,6.0,10.62,256,2800,,,,
